What is your age (# years)?,What is your gender?,In which country do you currently reside?,What is the highest level of formal education that you have attained or plan to attain within the next 2 years?,Select the title most similar to your current role (or most recent title if retired),What is the size of the company where you are employed?,Approximately how many individuals are responsible for data science workloads at your place of business?,Does your current employer incorporate machine learning methods into their business?,What is your current yearly compensation (approximate $USD)?,Approximately how much money have you spent on machine learning and/or cloud computing products at your work in the past 5 years?,What is the primary tool that you use at work or school to analyze data?,How long have you been writing code to analyze data (at work or at school)?,What programming language would you recommend an aspiring data scientist to learn first?,Have you ever used a TPU (tensor processing unit)?,For how many years have you used machine learning methods?
25-29,Male,France,Doctoral degree,Research Scientist,Medium,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",$0 (USD),Local development environments,5-10 years,R,Never,4-5 years
22-24,Female,Ireland,Master’s degree,Data Analyst,Large,10-14,We are exploring ML methods (and may one day put a model into production),"20,000-24,999","> $100,000 ($USD)",Advanced statistical software,1-2 years,Python,Never,1-2 years
35-39,Male,United States of America,Bachelor’s degree,Other,Mid-Large,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",$0 (USD),Basic statistical software,5-10 years,Python,Never,2-3 years
25-29,Male,India,Master’s degree,Business Analyst,Enterprise,0,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,Basic statistical software,< 1 years,Python,Never,< 1 years
40-44,Male,Russia,Master’s degree,Software Engineer,Medium,1-2,No (we do not use ML methods),"10,000-14,999","$1000-$9,999",Local development environments,1-2 years,Python,Used TPU,< 1 years
25-29,Male,Greece,Master’s degree,Research Scientist,Mid-Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",$0 (USD),Other,5-10 years,Python,Never,1-2 years
30-34,Male,Greece,Master’s degree,Software Engineer,Small,0,No (we do not use ML methods),"20,000-24,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,1-2 years
35-39,Male,India,Master’s degree,Software Engineer,Small,1-2,We are exploring ML methods (and may one day put a model into production),"100,000-124,999","$10,000-$99,999",Local development environments,10-20 years,Python,Never,2-3 years
30-34,Male,Japan,Master’s degree,Software Engineer,Enterprise,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",$0 (USD),Local development environments,1-2 years,Python,Never,2-3 years
30-34,Male,Japan,Master’s degree,Data Scientist,Small,10-14,We are exploring ML methods (and may one day put a model into production),"7,500-9,999",$100-$999,Local development environments,5-10 years,Python,Never,2-3 years
30-34,Female,United States of America,Master’s degree,Research Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999","> $100,000 ($USD)",Cloud-based data software & APIs,5-10 years,Python,Never,3-4 years
22-24,Male,Brazil,Bachelor’s degree,Data Scientist,Enterprise,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","> $100,000 ($USD)",Local development environments,1-2 years,Python,Never,2-3 years
25-29,Male,India,Bachelor’s degree,Other,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","7,500-9,999","$10,000-$99,999",Local development environments,3-5 years,R,Never,3-4 years
35-39,Male,South Korea,Master’s degree,Data Analyst,Medium,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",$100-$999,Advanced statistical software,1-2 years,Python,Never,1-2 years
25-29,Male,Brazil,Master’s degree,Data Analyst,Mid-Large,0,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",$1-$99,Business intelligence software,3-5 years,Python,Never,1-2 years
30-34,Female,United States of America,Doctoral degree,Product/Project Manager,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","90,000-99,999","> $100,000 ($USD)",Cloud-based data software & APIs,10-20 years,Python,Never,5-10 years
25-29,Male,India,Bachelor’s degree,Software Engineer,Medium,1-2,We are exploring ML methods (and may one day put a model into production),"5,000-7,499","$1000-$9,999",Business intelligence software,1-2 years,Python,Never,1-2 years
22-24,Male,India,Bachelor’s degree,Software Engineer,Medium,0,No (we do not use ML methods),"10,000-14,999",$0 (USD),Business intelligence software,1-2 years,Python,Never,1-2 years
35-39,Female,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,Small,0,No (we do not use ML methods),"40,000-49,999",$1-$99,Basic statistical software,5-10 years,Python,Never,1-2 years
30-34,Male,Sweden,Master’s degree,Data Analyst,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,3-4 years
35-39,Male,United States of America,Bachelor’s degree,Data Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",$1-$99,Local development environments,5-10 years,Python,Never,5-10 years
25-29,Male,India,Bachelor’s degree,Business Analyst,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999",$0 (USD),Local development environments,3-5 years,R,Never,2-3 years
30-34,Male,Germany,Master’s degree,Data Engineer,Large,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","80,000-89,999","$1000-$9,999",Cloud-based data software & APIs,1-2 years,Python,Never,1-2 years
25-29,Male,Germany,Bachelor’s degree,Data Scientist,Mid-Large,5-9,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",$100-$999,Local development environments,3-5 years,Python,Never,1-2 years
25-29,Male,India,Some college/university study without earning a bachelor’s degree,Data Analyst,Enterprise,5-9,No (we do not use ML methods),$0-999,$1-$99,Local development environments,< 1 years,Python,Used TPU,< 1 years
45-49,Female,India,Doctoral degree,Data Analyst,Medium,1-2,No (we do not use ML methods),"2,000-2,999",$1-$99,Local development environments,3-5 years,Other,Never,3-4 years
30-34,Male,United States of America,Master’s degree,Other,Enterprise,20+,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",$0 (USD),Basic statistical software,3-5 years,R,Never,4-5 years
35-39,Male,Mexico,Master’s degree,Data Scientist,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","$10,000-$99,999",Local development environments,1-2 years,Python,Never,1-2 years
30-34,Male,United States of America,Bachelor’s degree,Data Analyst,Mid-Large,3-4,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",$100-$999,Local development environments,3-5 years,SQL,Never,2-3 years
22-24,Male,France,Master’s degree,Data Scientist,Small,1-2,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",$100-$999,Other,1-2 years,Python,Never,1-2 years
35-39,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,Enterprise,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$0 (USD),Local development environments,1-2 years,Python,Never,< 1 years
40-44,Male,Other,Master’s degree,Other,Large,1-2,No (we do not use ML methods),"15,000-19,999",$0 (USD),Local development environments,3-5 years,Python,Never,1-2 years
25-29,Male,United States of America,Master’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999","> $100,000 ($USD)",Cloud-based data software & APIs,5-10 years,Python,Used TPU,5-10 years
18-21,Male,Russia,Bachelor’s degree,Data Scientist,Large,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",$1-$99,Local development environments,1-2 years,Python,Never,1-2 years
22-24,Male,India,Bachelor’s degree,Software Engineer,Large,20+,I do not know,"15,000-19,999",$0 (USD),Business intelligence software,1-2 years,Python,Used TPU,1-2 years
30-34,Male,India,Bachelor’s degree,Data Scientist,Enterprise,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",$0 (USD),Local development environments,3-5 years,Python,Used TPU,3-4 years
22-24,Male,Australia,Master’s degree,Software Engineer,Medium,3-4,No (we do not use ML methods),"50,000-59,999",$0 (USD),Local development environments,1-2 years,Python,Never,< 1 years
30-34,Female,India,Master’s degree,Other,Small,1-2,I do not know,$0-999,$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
35-39,Male,Japan,Doctoral degree,Research Scientist,Mid-Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",$0 (USD),Local development environments,1-2 years,R,Never,1-2 years
35-39,Male,Canada,Doctoral degree,Research Scientist,Large,20+,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999","$1000-$9,999",Local development environments,10-20 years,Python,Used TPU,10-15 years
30-34,Male,Portugal,Doctoral degree,Data Scientist,Large,15-19,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",$0 (USD),Other,5-10 years,Python,Never,5-10 years
25-29,Male,United States of America,Master’s degree,Data Engineer,Medium,5-9,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",$0 (USD),Local development environments,1-2 years,Python,Never,1-2 years
30-34,Male,Canada,Master’s degree,Business Analyst,Large,3-4,We are exploring ML methods (and may one day put a model into production),"70,000-79,999","> $100,000 ($USD)",Local development environments,3-5 years,R,Never,1-2 years
30-34,Female,United States of America,Master’s degree,Data Engineer,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$10,000-$99,999",Local development environments,3-5 years,Python,Never,1-2 years
22-24,Male,France,Master’s degree,Data Scientist,Small,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,2-3 years
22-24,Male,United States of America,Master’s degree,Data Scientist,Small,3-4,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",$100-$999,Local development environments,< 1 years,Python,Never,< 1 years
30-34,Male,Canada,Doctoral degree,Research Scientist,Small,1-2,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",$100-$999,Local development environments,5-10 years,Python,Never,4-5 years
25-29,Male,Poland,Master’s degree,Research Scientist,Medium,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$1-$99,Local development environments,5-10 years,Python,Never,1-2 years
22-24,Male,Indonesia,Master’s degree,Data Engineer,Small,1-2,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,Local development environments,1-2 years,Python,Never,1-2 years
35-39,Male,Netherlands,I prefer not to answer,Software Engineer,Medium,3-4,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",$0 (USD),Local development environments,1-2 years,Python,Never,1-2 years
30-34,Male,Italy,Some college/university study without earning a bachelor’s degree,Data Scientist,Small,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
45-49,Male,France,Master’s degree,Software Engineer,Small,1-2,We are exploring ML methods (and may one day put a model into production),"90,000-99,999","$1000-$9,999",Other,< 1 years,Python,Never,1-2 years
22-24,Male,India,Bachelor’s degree,Software Engineer,Enterprise,20+,I do not know,"4,000-4,999",$1-$99,Local development environments,3-5 years,Python,Never,< 1 years
22-24,Male,Brazil,Bachelor’s degree,Business Analyst,Medium,1-2,No (we do not use ML methods),"10,000-14,999",$0 (USD),Business intelligence software,1-2 years,SQL,Never,< 1 years
30-34,Male,United States of America,Master’s degree,Business Analyst,Small,1-2,No (we do not use ML methods),"50,000-59,999",$1-$99,Cloud-based data software & APIs,1-2 years,Python,Never,< 1 years
30-34,Male,India,Bachelor’s degree,Business Analyst,Medium,5-9,I do not know,"10,000-14,999",$1-$99,Local development environments,1-2 years,Python,Never,1-2 years
25-29,Male,Czech Republic,Master’s degree,Research Scientist,Large,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",$0 (USD),Local development environments,1-2 years,Python,Never,4-5 years
35-39,Male,United States of America,Master’s degree,Data Scientist,Medium,1-2,We are exploring ML methods (and may one day put a model into production),"200,000-249,999",$0 (USD),Local development environments,3-5 years,SQL,Never,5-10 years
25-29,Female,Other,Master’s degree,Software Engineer,Small,0,No (we do not use ML methods),$0-999,$0 (USD),Advanced statistical software,< 1 years,Python,Never,< 1 years
50-54,Male,United Kingdom of Great Britain and Northern Ireland,Master’s degree,Data Engineer,Small,1-2,We are exploring ML methods (and may one day put a model into production),"60,000-69,999","$1000-$9,999",Local development environments,10-20 years,R,Never,1-2 years
30-34,Male,United States of America,Master’s degree,Data Scientist,Medium,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999","$10,000-$99,999",Cloud-based data software & APIs,3-5 years,Python,Never,3-4 years
35-39,Male,Sweden,Doctoral degree,Data Scientist,Enterprise,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,3-4 years
25-29,Male,India,Master’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",$0 (USD),Local development environments,3-5 years,Python,Never,3-4 years
45-49,Male,India,I prefer not to answer,Other,Medium,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",$100-$999,Basic statistical software,1-2 years,R,Never,1-2 years
25-29,Male,Spain,Master’s degree,Data Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999","$1000-$9,999",Local development environments,3-5 years,SQL,Never,4-5 years
35-39,Male,Russia,Professional degree,Data Scientist,Medium,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999","$1000-$9,999",Local development environments,10-20 years,Python,Used TPU,1-2 years
25-29,Male,Other,Doctoral degree,Software Engineer,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
40-44,Male,India,Master’s degree,Data Engineer,Enterprise,10-14,We use ML methods for generating insights (but do not put working models into production),"> $500,000","> $100,000 ($USD)",Cloud-based data software & APIs,5-10 years,Python,Used TPU,1-2 years
25-29,Male,United States of America,Master’s degree,Data Scientist,Medium,1-2,We are exploring ML methods (and may one day put a model into production),"80,000-89,999",$0 (USD),Local development environments,3-5 years,Python,Never,3-4 years
22-24,Male,Pakistan,Master’s degree,Data Scientist,Medium,10-14,"We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999","$10,000-$99,999",Local development environments,1-2 years,Python,Used TPU,1-2 years
25-29,Male,Chile,Master’s degree,Data Scientist,Small,3-4,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",$100-$999,Local development environments,3-5 years,Python,Never,2-3 years
22-24,Male,France,Master’s degree,Software Engineer,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$100-$999,Local development environments,1-2 years,Python,Used TPU,1-2 years
18-21,Female,India,Bachelor’s degree,Software Engineer,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","15,000-19,999",$100-$999,Cloud-based data software & APIs,1-2 years,Python,Never,1-2 years
45-49,Male,Hong Kong (S.A.R.),Professional degree,Data Analyst,Enterprise,1-2,No (we do not use ML methods),"300,000-500,000",$1-$99,Local development environments,3-5 years,R,Never,1-2 years
30-34,Female,Mexico,Master’s degree,Software Engineer,Medium,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",$0 (USD),Local development environments,1-2 years,R,Never,< 1 years
25-29,Male,India,Master’s degree,Software Engineer,Mid-Large,20+,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",$100-$999,Basic statistical software,3-5 years,Python,Never,< 1 years
50-54,Male,Spain,Doctoral degree,Research Scientist,Large,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999","$1000-$9,999",Local development environments,20+ years,Python,Never,20+ years
18-21,Female,India,Master’s degree,Data Scientist,Enterprise,15-19,"We have well established ML methods (i.e., models in production for more than 2 years)","4,000-4,999",$1-$99,Local development environments,3-5 years,Python,Never,1-2 years
40-44,Male,India,Master’s degree,Data Scientist,Enterprise,5-9,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999","> $100,000 ($USD)",Business intelligence software,3-5 years,Python,Never,2-3 years
60-69,Male,United States of America,Master’s degree,Software Engineer,Large,3-4,No (we do not use ML methods),"100,000-124,999","> $100,000 ($USD)",Business intelligence software,20+ years,Python,Never,< 1 years
25-29,Male,Turkey,Doctoral degree,Data Scientist,Large,1-2,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999","$10,000-$99,999",Business intelligence software,5-10 years,SQL,Never,5-10 years
30-34,Male,Ireland,Master’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
55-59,Male,France,Master’s degree,Research Scientist,Large,0,We are exploring ML methods (and may one day put a model into production),"125,000-149,999","$1000-$9,999",Other,3-5 years,R,Used TPU,1-2 years
25-29,Male,India,Master’s degree,Business Analyst,Small,5-9,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,Other,3-5 years,Python,Never,< 1 years
35-39,Male,Portugal,Master’s degree,Software Engineer,Mid-Large,3-4,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",$100-$999,Local development environments,5-10 years,Python,Never,1-2 years
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Bachelor’s degree,Software Engineer,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",$100-$999,Local development environments,3-5 years,Python,Never,1-2 years
22-24,Male,India,Master’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
22-24,Male,Pakistan,Bachelor’s degree,Data Scientist,Large,3-4,We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",$1-$99,Local development environments,3-5 years,Python,Never,1-2 years
18-21,Male,India,Bachelor’s degree,Data Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999","$1000-$9,999",Other,3-5 years,Python,Never,3-4 years
35-39,Male,United States of America,Master’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$10,000-$99,999",Advanced statistical software,5-10 years,Python,Never,5-10 years
35-39,Male,Other,Master’s degree,Data Scientist,Mid-Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,5-10 years
30-34,Female,Italy,Master’s degree,Data Scientist,Enterprise,10-14,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",$100-$999,Local development environments,3-5 years,Python,Never,4-5 years
25-29,Male,France,Master’s degree,Data Scientist,Small,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999","$10,000-$99,999",Local development environments,3-5 years,Python,Never,3-4 years
30-34,Male,Ukraine,Bachelor’s degree,Software Engineer,Small,1-2,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",$0 (USD),Basic statistical software,3-5 years,Python,Never,2-3 years
25-29,Male,India,Master’s degree,Data Scientist,Mid-Large,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999","$1000-$9,999",Local development environments,1-2 years,Python,Never,< 1 years
25-29,Male,Japan,Master’s degree,Data Scientist,Small,5-9,"We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",$100-$999,Local development environments,1-2 years,Python,Never,1-2 years
35-39,Male,Russia,Professional degree,Product/Project Manager,Medium,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",$100-$999,Local development environments,3-5 years,Python,Used TPU,4-5 years
35-39,Female,Taiwan,Master’s degree,Product/Project Manager,Medium,1-2,No (we do not use ML methods),$0-999,$0 (USD),Basic statistical software,< 1 years,Python,Never,< 1 years
22-24,Female,United States of America,Bachelor’s degree,Data Scientist,Mid-Large,5-9,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",$0 (USD),Local development environments,3-5 years,SQL,Never,1-2 years
30-34,Male,Egypt,Master’s degree,Data Scientist,Small,1-2,No (we do not use ML methods),$0-999,$1-$99,Basic statistical software,1-2 years,Python,Never,1-2 years
25-29,Male,Brazil,Master’s degree,Software Engineer,Medium,0,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",$1-$99,Local development environments,3-5 years,Python,Never,< 1 years
22-24,Male,Brazil,Bachelor’s degree,Data Scientist,Mid-Large,10-14,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999","$1000-$9,999",Local development environments,1-2 years,SQL,Never,< 1 years
30-34,Male,Russia,Doctoral degree,Data Scientist,Small,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,5-10 years
40-44,Male,United States of America,Master’s degree,Data Scientist,Small,3-4,We are exploring ML methods (and may one day put a model into production),"125,000-149,999","$10,000-$99,999",Cloud-based data software & APIs,20+ years,Python,Never,2-3 years
50-54,Female,Brazil,Doctoral degree,Product/Project Manager,Small,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499","$10,000-$99,999",Basic statistical software,20+ years,Python,Used TPU,4-5 years
25-29,Female,United States of America,Master’s degree,Data Scientist,Mid-Large,1-2,We use ML methods for generating insights (but do not put working models into production),"125,000-149,999","$1000-$9,999",Local development environments,5-10 years,SQL,Never,2-3 years
25-29,Male,Morocco,Doctoral degree,Statistician,Enterprise,5-9,I do not know,$0-999,$100-$999,Local development environments,3-5 years,Python,Never,4-5 years
25-29,Male,Canada,Master’s degree,Data Scientist,Small,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",$0 (USD),Local development environments,5-10 years,Python,Never,2-3 years
25-29,Female,Canada,Master’s degree,Data Scientist,Mid-Large,10-14,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",$0 (USD),Cloud-based data software & APIs,3-5 years,Python,Never,4-5 years
22-24,Male,United States of America,Master’s degree,Business Analyst,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",$1-$99,Basic statistical software,< 1 years,Python,Used TPU,< 1 years
25-29,Male,Brazil,Bachelor’s degree,Other,Large,3-4,No (we do not use ML methods),"10,000-14,999",$1-$99,Local development environments,3-5 years,Python,Never,2-3 years
55-59,Male,United States of America,Doctoral degree,Other,Large,15-19,No (we do not use ML methods),"10,000-14,999",$0 (USD),Local development environments,3-5 years,Python,Never,2-3 years
25-29,Male,Hungary,Some college/university study without earning a bachelor’s degree,Data Analyst,Medium,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","$1000-$9,999",Basic statistical software,3-5 years,Python,Never,1-2 years
25-29,Male,Belarus,Doctoral degree,Data Scientist,Mid-Large,3-4,We use ML methods for generating insights (but do not put working models into production),"1,000-1,999",$100-$999,Local development environments,5-10 years,Other,Never,1-2 years
22-24,Male,United States of America,Bachelor’s degree,Data Analyst,Small,3-4,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",$0 (USD),Basic statistical software,1-2 years,SQL,Never,1-2 years
22-24,Female,India,Master’s degree,Data Scientist,Large,20+,"We have well established ML methods (i.e., models in production for more than 2 years)",$0-999,$100-$999,Cloud-based data software & APIs,5-10 years,Python,Never,5-10 years
18-21,Male,Canada,Bachelor’s degree,Data Scientist,Medium,20+,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999","> $100,000 ($USD)",Local development environments,3-5 years,R,Never,2-3 years
25-29,Male,India,Master’s degree,Business Analyst,Enterprise,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999","$10,000-$99,999",Local development environments,1-2 years,Python,Never,1-2 years
40-44,Male,India,Master’s degree,Data Scientist,Large,20+,We are exploring ML methods (and may one day put a model into production),"40,000-49,999","$1000-$9,999",Local development environments,3-5 years,Python,Never,1-2 years
35-39,Male,France,Master’s degree,Data Scientist,Medium,3-4,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",$0 (USD),Local development environments,3-5 years,Python,Never,2-3 years
30-34,Male,Other,Doctoral degree,Data Scientist,Small,1-2,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,"$1000-$9,999",Local development environments,1-2 years,SQL,Never,1-2 years
30-34,Male,Colombia,Doctoral degree,Research Scientist,Mid-Large,20+,We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",$0 (USD),Local development environments,10-20 years,Python,Never,5-10 years
30-34,Male,Brazil,Bachelor’s degree,Software Engineer,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",$0 (USD),Local development environments,< 1 years,Python,Never,< 1 years
40-44,Male,Germany,Doctoral degree,Research Scientist,Medium,5-9,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999","$1000-$9,999",Local development environments,5-10 years,Python,Never,1-2 years
40-44,Male,United States of America,Professional degree,Statistician,Enterprise,20+,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",$0 (USD),Advanced statistical software,10-20 years,Python,Used TPU,5-10 years
35-39,Male,India,Master’s degree,Data Scientist,Small,3-4,We are exploring ML methods (and may one day put a model into production),$0-999,$1-$99,Local development environments,< 1 years,Python,Never,< 1 years
25-29,Female,United States of America,Master’s degree,Data Scientist,Enterprise,20+,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999","> $100,000 ($USD)",Cloud-based data software & APIs,5-10 years,Python,Never,5-10 years
55-59,Male,India,Master’s degree,Product/Project Manager,Medium,10-14,We are exploring ML methods (and may one day put a model into production),"15,000-19,999",$100-$999,Basic statistical software,< 1 years,Python,Used TPU,1-2 years
